ordno,itcode,itunit,itqty,itrte,itamnt,bcamnt,itemdesc,ordte,ccode,refno,clsup,tramnt,name
180155,INSULATION0256 ,ROLLS,10.0,181.97,1819.7,1819.7,"INSULATION 2"" X 56.5"" X 50",2018-04-20,02 ,                                                                                                                                                      ,CR00136,1819.7,"CR Solar Supply, Inc                                        "
180156,SSBANDSFOR16INR,BOX  ,40.0,170.0,6800.0,6800.0,"SS BANDS FOR 16"" ROUND",2018-04-20,02 ,                                                                                                                                                      ,CR00050,6800.0,CR Coastal HVAC Supply ( Vendor )                           
180157,SAWD140125A01F ,BOX  ,5.0,31.97,159.85,159.85,Diablo Chop Saw Blade DBD140109A01F005,2018-04-20,02 ,                                                                                                                                                      ,CR00184,159.85,CR HOME DEPOT                                               
180158,GASKET00000001 ,BOX  ,40.0,40.0,1600.0,1600.0,Gasket (TDC GASKET),2018-04-20,02 ,                                                                                                                                                      ,CR00192,1600.0,
170130,GICOIL00000028 ,LBS  ,18620.0,0.5505,10250.31,10250.31,GALVANIZED COIL 28 GAGE G30,2017-03-30,01 ,                                                                                                                                                      ,CR00118,10250.31,
170131,OSHACONSULTANTS,NOS  ,1.0,925.0,925.0,925.0,MAS SOLUTIONS OSHA CONSULTANTS,2017-03-30,03 ,                                                                                                                                                      ,CR00198,925.0,
170089,MACHINEREPAIR00,.    ,1.0,654.0,654.0,654.0,MACHINE REPAIR FOR THE PIN SPOTTER MACHINE,2017-03-09,01 ,                                                                                                                                                      ,CR00057,654.0,
170090,DAVIDCEPEDA001 ,NOS  ,1.0,2315.0,2315.0,2315.0,MACHINE REPAIR for the plasma table,2017-03-09,02 ,                                                                                                                                                      ,CR00057,2315.0,
170091,CONICWDFLATAP06,NOS  ,4.0,12.5675,50.27,50.27,"6"" CONICAL FLANGE TAP W/DAMPER",2017-03-13,02 ,                                                                                                                                                      ,CR00192,2673.893,
170091,CONICWDFLATAP08,NOS  ,95.0,14.337,1362.015,1362.02,"8"" CONICAL FLANGE TAP WITH DAMPER",2017-03-13,02 ,                                                                                                                                                      ,CR00192,2673.893,
