billtype_x,billno,itcode,itunit,itqty,itrte,itamnt,refno,billtype_y,billdate,ccode,clsup,slpucd,tramnt,refno_y,refdt,duedate,name,ortyp,ordte,OrderToPurchaseDays
PURC,200590,BEARING0DHK708 ,NOS  ,10000.0,0.2,2000.0,200465,PURC,2020-11-30,RESIDENTIAL,CR00040,Purchase Dusting - Residential                              ,3860.0,099531                   ,2020-11-30,2020-12-30,"CR Cain Manufacturing Co.,Inc.                              ",P,2020-11-19,11.0
PURC,200567,DUCTWRAPR60000 ,NOS  ,20.0,56.42,1128.4,200430,PURC,2020-10-20,COMMERCIAL,CR00272,Purchase Duct - Commercial                                  ,1154.65,07908601                 ,2020-10-20,2020-12-19,CR Win Supply Of Houston                                    ,P,2020-10-16,4.0
PURC,200567,STAPLES256MM00 ,BOX  ,5.0,5.25,26.25,200430,PURC,2020-10-20,COMMERCIAL,CR00272,Purchase Duct - Commercial                                  ,1154.65,07908601                 ,2020-10-20,2020-12-19,CR Win Supply Of Houston                                    ,P,2020-10-16,4.0
PURC,200568,INSUL000011235 ,ROLL ,20.0,82.55,1651.0,200412,PURC,2020-10-16,RESIDENTIAL,CR00136,Purchase Dusting - Residential                              ,6627.8,3642621                  ,2020-10-16,2020-11-15,"CR Solar Supply, Inc                                        ",P,2020-10-02,14.0
PURC,200568,INSUL000011247 ,ROLL ,20.0,110.46,2209.2,200412,PURC,2020-10-16,RESIDENTIAL,CR00136,Purchase Dusting - Residential                              ,6627.8,3642621                  ,2020-10-16,2020-11-15,"CR Solar Supply, Inc                                        ",P,2020-10-02,14.0
PURC,200568,INSUL000011259 ,ROLL ,20.0,138.38,2767.6,200412,PURC,2020-10-16,RESIDENTIAL,CR00136,Purchase Dusting - Residential                              ,6627.8,3642621                  ,2020-10-16,2020-11-15,"CR Solar Supply, Inc                                        ",P,2020-10-02,14.0
PURC,200569,GALVSHEET14510 ,SHEET,4.0,89.0,356.0,200428,PURC,2020-10-16,COMMERCIAL,CR00181,Purchase Duct - Commercial                                  ,356.0,933879                   ,2020-10-16,2020-11-15,CR Triple S Steel                                           ,P,2020-10-16,0.0
PURC,200570,PRESSONTAPWD08 ,NOS  ,89.0,7.4,658.6,200424,PURC,2020-10-16,COMMERCIAL,CR00272,Purchase Duct - Commercial                                  ,1895.15,07883601                 ,2020-10-16,2020-11-15,CR Win Supply Of Houston                                    ,P,2020-10-14,2.0
PURC,200570,PRESSONTAPWD10 ,NOS  ,110.0,8.75,962.5,200424,PURC,2020-10-16,COMMERCIAL,CR00272,Purchase Duct - Commercial                                  ,1895.15,07883601                 ,2020-10-16,2020-11-15,CR Win Supply Of Houston                                    ,P,2020-10-14,2.0
PURC,200570,PRESSONTAPWD12 ,NOS  ,27.0,10.15,274.05,200424,PURC,2020-10-16,COMMERCIAL,CR00272,Purchase Duct - Commercial                                  ,1895.15,07883601                 ,2020-10-16,2020-11-15,CR Win Supply Of Houston                                    ,P,2020-10-14,2.0
